date_key,year,quarter,month,month_name,year_month,day,day_of_week,is_weekend
2026-06-01,2026,Q2,6,June,2026-06,1,Monday,0
2026-06-02,2026,Q2,6,June,2026-06,2,Tuesday,0
2026-06-03,2026,Q2,6,June,2026-06,3,Wednesday,0
2026-06-04,2026,Q2,6,June,2026-06,4,Thursday,0
2026-06-05,2026,Q2,6,June,2026-06,5,Friday,0
2026-06-06,2026,Q2,6,June,2026-06,6,Saturday,1
2026-06-08,2026,Q2,6,June,2026-06,8,Monday,0
2026-06-09,2026,Q2,6,June,2026-06,9,Tuesday,0
2026-06-10,2026,Q2,6,June,2026-06,10,Wednesday,0
2026-06-12,2026,Q2,6,June,2026-06,12,Friday,0
2026-06-13,2026,Q2,6,June,2026-06,13,Saturday,1
2026-06-14,2026,Q2,6,June,2026-06,14,Sunday,1
2026-06-15,2026,Q2,6,June,2026-06,15,Monday,0
2026-06-16,2026,Q2,6,June,2026-06,16,Tuesday,0
2026-06-17,2026,Q2,6,June,2026-06,17,Wednesday,0
2026-06-18,2026,Q2,6,June,2026-06,18,Thursday,0
2026-06-19,2026,Q2,6,June,2026-06,19,Friday,0
2026-06-20,2026,Q2,6,June,2026-06,20,Saturday,1
2026-06-21,2026,Q2,6,June,2026-06,21,Sunday,1
2026-06-22,2026,Q2,6,June,2026-06,22,Monday,0
2026-06-23,2026,Q2,6,June,2026-06,23,Tuesday,0
2026-06-25,2026,Q2,6,June,2026-06,25,Thursday,0
2026-06-26,2026,Q2,6,June,2026-06,26,Friday,0
2026-06-27,2026,Q2,6,June,2026-06,27,Saturday,1
2026-06-28,2026,Q2,6,June,2026-06,28,Sunday,1
2026-06-29,2026,Q2,6,June,2026-06,29,Monday,0
2026-06-30,2026,Q2,6,June,2026-06,30,Tuesday,0
2026-07-01,2026,Q3,7,July,2026-07,1,Wednesday,0
2026-07-02,2026,Q3,7,July,2026-07,2,Thursday,0
2026-07-03,2026,Q3,7,July,2026-07,3,Friday,0
2026-07-04,2026,Q3,7,July,2026-07,4,Saturday,1
2026-07-06,2026,Q3,7,July,2026-07,6,Monday,0
2026-07-07,2026,Q3,7,July,2026-07,7,Tuesday,0
2026-07-08,2026,Q3,7,July,2026-07,8,Wednesday,0
2026-07-09,2026,Q3,7,July,2026-07,9,Thursday,0
2026-07-10,2026,Q3,7,July,2026-07,10,Friday,0
2026-07-11,2026,Q3,7,July,2026-07,11,Saturday,1
2026-07-12,2026,Q3,7,July,2026-07,12,Sunday,1
2026-07-13,2026,Q3,7,July,2026-07,13,Monday,0
2026-07-14,2026,Q3,7,July,2026-07,14,Tuesday,0
2026-07-15,2026,Q3,7,July,2026-07,15,Wednesday,0
2026-07-16,2026,Q3,7,July,2026-07,16,Thursday,0
2026-07-17,2026,Q3,7,July,2026-07,17,Friday,0
2026-07-18,2026,Q3,7,July,2026-07,18,Saturday,1
2026-07-19,2026,Q3,7,July,2026-07,19,Sunday,1
2026-07-20,2026,Q3,7,July,2026-07,20,Monday,0
2026-07-21,2026,Q3,7,July,2026-07,21,Tuesday,0
2026-07-22,2026,Q3,7,July,2026-07,22,Wednesday,0
2026-07-23,2026,Q3,7,July,2026-07,23,Thursday,0
2026-07-24,2026,Q3,7,July,2026-07,24,Friday,0
2026-07-25,2026,Q3,7,July,2026-07,25,Saturday,1
2026-07-26,2026,Q3,7,July,2026-07,26,Sunday,1
2026-07-27,2026,Q3,7,July,2026-07,27,Monday,0
2026-07-28,2026,Q3,7,July,2026-07,28,Tuesday,0
2026-07-29,2026,Q3,7,July,2026-07,29,Wednesday,0
2026-07-30,2026,Q3,7,July,2026-07,30,Thursday,0
2026-07-31,2026,Q3,7,July,2026-07,31,Friday,0
2026-08-01,2026,Q3,8,August,2026-08,1,Saturday,1
2026-08-02,2026,Q3,8,August,2026-08,2,Sunday,1
2026-08-03,2026,Q3,8,August,2026-08,3,Monday,0
2026-08-04,2026,Q3,8,August,2026-08,4,Tuesday,0
2026-08-05,2026,Q3,8,August,2026-08,5,Wednesday,0
2026-08-06,2026,Q3,8,August,2026-08,6,Thursday,0
2026-08-07,2026,Q3,8,August,2026-08,7,Friday,0
2026-08-08,2026,Q3,8,August,2026-08,8,Saturday,1
2026-08-09,2026,Q3,8,August,2026-08,9,Sunday,1
2026-08-10,2026,Q3,8,August,2026-08,10,Monday,0
2026-08-11,2026,Q3,8,August,2026-08,11,Tuesday,0
2026-08-12,2026,Q3,8,August,2026-08,12,Wednesday,0
2026-08-13,2026,Q3,8,August,2026-08,13,Thursday,0
2026-08-14,2026,Q3,8,August,2026-08,14,Friday,0
2026-08-15,2026,Q3,8,August,2026-08,15,Saturday,1
2026-08-16,2026,Q3,8,August,2026-08,16,Sunday,1
