interaction_key,client_key,date_key,channel,direction,interaction_type,intent_category,is_incoming,is_outgoing,is_reminder
ANON-D15EC592,ANON-3A236BF4,2026-09-18,web,incoming,message,unknown,1,0,0
ANON-A7C42EFC,ANON-3A236BF4,2026-09-18,web,outgoing,ai_response,unknown,0,1,0
ANON-48692A1D,ANON-229421A2,2026-08-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A2135696,ANON-229421A2,2026-08-22,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FA6FA58D,ANON-229421A2,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-A69339F0,ANON-229421A2,2026-07-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7E42F218,ANON-118C6EFE,2026-08-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-F9C39855,ANON-118C6EFE,2026-08-28,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7A709C1C,ANON-118C6EFE,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-812360F2,ANON-118C6EFE,2026-08-07,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D477AA97,ANON-118C6EFE,2026-10-05,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-6ECCB5A7,ANON-F5EC4FC5,2026-10-08,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-0ACD2F92,ANON-F5EC4FC5,2026-09-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-53245352,ANON-F5EC4FC5,2026-07-11,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-38C3B2FF,ANON-F5EC4FC5,2026-07-12,sms,outgoing,follow_up,unclassified,0,1,0
ANON-DDDCE129,ANON-F5EC4FC5,2026-06-21,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-88923705,ANON-F5EC4FC5,2026-10-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DD2EF558,ANON-F5EC4FC5,2026-07-17,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1BB5CF1A,ANON-F9029CD0,2026-06-01,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FA53B7B9,ANON-F9029CD0,2026-08-29,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-49BF7E24,ANON-F9029CD0,2026-08-30,sms,outgoing,follow_up,unclassified,0,1,0
ANON-804B3A94,ANON-F9029CD0,2026-07-19,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-C25EEC26,ANON-F9029CD0,2026-09-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-BFEFD129,ANON-F9029CD0,2026-09-06,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-1778A585,ANON-2C6607D4,2026-07-24,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-DC627BE4,ANON-2C6607D4,2026-06-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-7E25B563,ANON-2C6607D4,2026-10-12,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-470D5DD4,ANON-C1359A00,2026-10-14,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-724D8D7D,ANON-C1359A00,2026-10-13,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-BDF4908C,ANON-D0A0D3E8,2026-09-03,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-4036CEB6,ANON-D0A0D3E8,2026-09-25,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-5A84E210,ANON-56A53EF6,2026-07-21,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-E9AC4882,ANON-56A53EF6,2026-07-31,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-FD92A10E,ANON-56A53EF6,2026-10-04,sms,outgoing,appointment_reminder,unclassified,0,1,1
ANON-D763DC94,ANON-56A53EF6,2026-09-20,sms,outgoing,appointment_reminder,unclassified,0,1,1
